invoice_id,client_name,issue_date,due_date,amount,currency,status
INV-001,Northwind Studio,2026-01-10,2026-01-25,825.00,USD,
INV-002,Maple Labs,2026-01-14,2026-01-30,1000.00,USD,
INV-003,Beacon Copy,2026-01-18,2026-02-04,1175.00,USD,
INV-004,Saffron Media,2026-01-22,2026-02-09,1350.00,USD,
INV-005,Blue Peak Design,2026-01-26,2026-02-14,1525.00,USD,
INV-006,Riverstone Tech,2026-01-30,2026-02-19,1700.00,USD,
INV-007,Luna Content,2026-02-03,2026-02-24,1875.00,USD,
INV-008,Aster Analytics,2026-02-07,2026-03-01,650.00,USD,
INV-009,Cedar Creative,2026-02-11,2026-03-06,825.00,USD,
INV-010,Nimbus Works,2026-02-15,2026-03-01,1040.00,USD,
INV-011,Northwind Studio,2026-02-19,2026-03-06,1215.00,USD,
INV-012,Maple Labs,2026-02-23,2026-03-11,1390.00,USD,
INV-013,Beacon Copy,2026-02-27,2026-03-16,1565.00,USD,
INV-014,Saffron Media,2026-03-03,2026-03-21,1740.00,USD,
INV-015,Blue Peak Design,2026-03-07,2026-03-26,1915.00,USD,
INV-016,Riverstone Tech,2026-03-11,2026-03-31,690.00,USD,
INV-017,Luna Content,2026-03-15,2026-04-05,865.00,USD,
INV-018,Aster Analytics,2026-03-19,2026-04-10,1040.00,USD,
INV-019,Cedar Creative,2026-03-23,2026-04-15,1215.00,USD,
INV-020,Nimbus Works,2026-03-27,2026-04-10,1430.00,USD,
INV-021,Northwind Studio,2026-03-31,2026-04-15,1605.00,USD,
INV-022,Maple Labs,2026-04-04,2026-04-20,1780.00,USD,
INV-023,Beacon Copy,2026-04-08,2026-04-25,1955.00,USD,
INV-024,Saffron Media,2026-04-12,2026-04-30,730.00,USD,
INV-025,Blue Peak Design,2026-04-16,2026-05-05,905.00,USD,
INV-026,Riverstone Tech,2026-04-20,2026-05-10,1080.00,USD,
INV-027,Luna Content,2026-04-24,2026-05-15,1255.00,USD,
INV-028,Aster Analytics,2026-04-28,2026-05-20,1430.00,USD,
INV-029,Cedar Creative,2026-05-02,2026-05-25,1605.00,USD,
INV-030,Nimbus Works,2026-05-06,2026-05-20,1820.00,USD,
INV-031,Northwind Studio,2026-05-10,2026-05-25,1995.00,USD,
INV-032,Maple Labs,2026-05-14,2026-05-30,770.00,USD,
INV-033,Beacon Copy,2026-05-18,2026-06-04,945.00,USD,
INV-034,Saffron Media,2026-05-22,2026-06-09,1120.00,USD,
INV-035,Blue Peak Design,2026-05-26,2026-06-14,1295.00,USD,
INV-036,Riverstone Tech,2026-05-30,2026-06-19,1470.00,USD,
INV-037,Luna Content,2026-06-03,2026-06-24,1645.00,USD,
INV-038,Aster Analytics,2026-06-07,2026-06-29,1820.00,USD,
INV-039,Cedar Creative,2026-06-11,2026-07-04,1995.00,USD,
INV-040,Nimbus Works,2026-06-15,2026-06-29,810.00,USD,
INV-041,Northwind Studio,2026-06-19,2026-07-04,985.00,USD,
INV-042,Maple Labs,2026-06-23,2026-07-09,1160.00,USD,
INV-043,Beacon Copy,2026-06-27,2026-07-14,1335.00,USD,
INV-044,Saffron Media,2026-07-01,2026-07-19,1510.00,USD,
INV-045,Blue Peak Design,2026-07-05,2026-07-24,1685.00,USD,
INV-046,Riverstone Tech,2026-07-09,2026-07-29,1860.00,USD,
INV-047,Luna Content,2026-07-13,2026-08-03,2035.00,USD,
INV-048,Aster Analytics,2026-07-17,2026-08-08,810.00,USD,
INV-049,Cedar Creative,2026-07-21,2026-08-13,985.00,USD,
INV-050,Nimbus Works,2026-07-25,2026-08-08,1200.00,USD,
INV-051,Northwind Studio,2026-07-29,2026-08-13,1375.00,USD,
INV-052,Maple Labs,2026-08-02,2026-08-18,1550.00,USD,
INV-053,Beacon Copy,2026-08-06,2026-08-23,1725.00,USD,
INV-054,Saffron Media,2026-08-10,2026-08-28,1900.00,USD,
INV-055,Blue Peak Design,2026-08-14,2026-09-02,2075.00,USD,
INV-056,Riverstone Tech,2026-08-18,2026-09-07,850.00,USD,
INV-057,Luna Content,2026-08-22,2026-09-12,1025.00,USD,
INV-058,Aster Analytics,2026-08-26,2026-09-17,1200.00,USD,
INV-059,Cedar Creative,2026-08-30,2026-09-22,1375.00,USD,
INV-060,Nimbus Works,2026-09-03,2026-09-17,1590.00,USD,
